"Label (Grouping)","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Total!!Margin of Error","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Percent!!Margin of Error","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Male!!Margin of Error","Bronx County, New York!!Percent Male!!Estimate","Bronx County, New York!!Percent Male!!Margin of Error","Bronx County, New York!!Female!!Estimate","Bronx County, New York!!Female!!Margin of Error","Bronx County, New York!!Percent Female!!Estimate","Bronx County, New York!!Percent Female!!Margin of Error","Kings County, New York!!Total!!Estimate","Kings County, New York!!Total!!Margin of Error","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Percent!!Margin of Error","Kings County, New York!!Male!!Estimate","Kings County, New York!!Male!!Margin of Error","Kings County, New York!!Percent Male!!Estimate","Kings County, New York!!Percent Male!!Margin of Error","Kings County, New York!!Female!!Estimate","Kings County, New York!!Female!!Margin of Error","Kings County, New York!!Percent Female!!Estimate","Kings County, New York!!Percent Female!!Margin of Error","New York County, New York!!Total!!Estimate","New York County, New York!!Total!!Margin of Error","New York County, New York!!Percent!!Estimate","New York County, New York!!Percent!!Margin of Error","New York County, New York!!Male!!Estimate","New York County, New York!!Male!!Margin of Error","New York County, New York!!Percent Male!!Estimate","New York County, New York!!Percent Male!!Margin of Error","New York County, New York!!Female!!Estimate","New York County, New York!!Female!!Margin of Error","New York County, New York!!Percent Female!!Estimate","New York County, New York!!Percent Female!!Margin of Error","Queens County, New York!!Total!!Estimate","Queens County, New York!!Total!!Margin of Error","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Percent!!Margin of Error","Queens County, New York!!Male!!Estimate","Queens County, New York!!Male!!Margin of Error","Queens County, New York!!Percent Male!!Estimate","Queens County, New York!!Percent Male!!Margin of Error","Queens County, New York!!Female!!Estimate","Queens County, New York!!Female!!Margin of Error","Queens County, New York!!Percent Female!!Estimate","Queens County, New York!!Percent Female!!Margin of Error","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Total!!Margin of Error","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Percent!!Margin of Error","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Male!!Margin of Error","Richmond County, New York!!Percent Male!!Estimate","Richmond County, New York!!Percent Male!!Margin of Error","Richmond County, New York!!Female!!Estimate","Richmond County, New York!!Female!!Margin of Error","Richmond County, New York!!Percent Female!!Estimate","Richmond County, New York!!Percent Female!!Margin of Error","Manhattan borough, New York County, New York!!Total!!Estimate","Manhattan borough, New York County, New York!!Total!!Margin of Error","Manhattan borough, New York County, New York!!Percent!!Estimate","Manhattan borough, New York County, New York!!Percent!!Margin of Error","Manhattan borough, New York County, New York!!Male!!Estimate","Manhattan borough, New York County, New York!!Male!!Margin of Error","Manhattan borough, New York County, New York!!Percent Male!!Estimate","Manhattan borough, New York County, New York!!Percent Male!!Margin of Error","Manhattan borough, New York County, New York!!Female!!Estimate","Manhattan borough, New York County, New York!!Female!!Margin of Error","Manhattan borough, New York County, New York!!Percent Female!!Estimate","Manhattan borough, New York County, New York!!Percent Female!!Margin of Error"
"Population 16 years and over with earnings","634,888","±12,968","634,888","±12,968","313,408","±10,331","313,408","±10,331","321,480","±7,324","321,480","±7,324","1,353,389","±10,641","1,353,389","±10,641","665,922","±7,912","665,922","±7,912","687,467","±8,890","687,467","±8,890","968,416","±10,979","968,416","±10,979","477,877","±6,539","477,877","±6,539","490,539","±8,490","490,539","±8,490","1,212,194","±11,241","1,212,194","±11,241","636,292","±6,700","636,292","±6,700","575,902","±8,247","575,902","±8,247","243,338","±5,712","243,338","±5,712","128,057","±3,794","128,057","±3,794","115,281","±3,928","115,281","±3,928","968,416","±10,979","968,416","±10,979","477,877","±6,539","477,877","±6,539","490,539","±8,490","490,539","±8,490"
"    Median earnings (dollars)","34,913","±1,423","(X)","(X)","36,868","±1,235","(X)","(X)","32,012","±816","(X)","(X)","50,983","±590","(X)","(X)","56,298","±1,829","(X)","(X)","45,916","±1,181","(X)","(X)","76,645","±2,333","(X)","(X)","87,836","±4,999","(X)","(X)","67,271","±5,684","(X)","(X)","46,238","±586","(X)","(X)","50,112","±1,012","(X)","(X)","42,022","±734","(X)","(X)","54,220","±4,147","(X)","(X)","61,868","±2,523","(X)","(X)","47,157","±4,231","(X)","(X)","76,645","±2,333","(X)","(X)","87,836","±4,999","(X)","(X)","67,271","±5,684","(X)","(X)"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","388,510","±12,730","388,510","±12,730","207,036","±9,318","207,036","±9,318","181,474","±8,832","181,474","±8,832","888,964","±12,469","888,964","±12,469","456,691","±8,227","456,691","±8,227","432,273","±9,563","432,273","±9,563","655,775","±15,553","655,775","±15,553","341,710","±10,531","341,710","±10,531","314,065","±9,011","314,065","±9,011","828,140","±12,237","828,140","±12,237","458,618","±8,487","458,618","±8,487","369,522","±8,949","369,522","±8,949","171,514","±5,114","171,514","±5,114","96,125","±3,742","96,125","±3,742","75,389","±3,963","75,389","±3,963","655,775","±15,553","655,775","±15,553","341,710","±10,531","341,710","±10,531","314,065","±9,011","314,065","±9,011"
"        $1 to $9,999 or loss","7,919","±1,953","2.0%","±0.5","4,637","±1,323","2.2%","±0.7","3,282","±1,406","1.8%","±0.8","9,039","±1,705","1.0%","±0.2","3,245","±928","0.7%","±0.2","5,794","±1,397","1.3%","±0.3","9,243","±1,922","1.4%","±0.3","5,656","±1,308","1.7%","±0.4","3,587","±1,602","1.1%","±0.5","13,032","±1,932","1.6%","±0.2","7,547","±1,661","1.6%","±0.4","5,485","±1,227","1.5%","±0.3","2,937","±1,058","1.7%","±0.6","1,829","±780","1.9%","±0.8","1,108","±620","1.5%","±0.8","9,243","±1,922","1.4%","±0.3","5,656","±1,308","1.7%","±0.4","3,587","±1,602","1.1%","±0.5"
"        $10,000 to $14,999","9,370","±2,078","2.4%","±0.5","5,711","±1,667","2.8%","±0.8","3,659","±1,312","2.0%","±0.7","12,657","±1,965","1.4%","±0.2","6,076","±1,437","1.3%","±0.3","6,581","±1,500","1.5%","±0.3","7,043","±2,204","1.1%","±0.3","3,122","±1,312","0.9%","±0.4","3,921","±1,694","1.2%","±0.5","11,410","±2,050","1.4%","±0.2","4,970","±1,223","1.1%","±0.3","6,440","±1,455","1.7%","±0.4","1,899","±965","1.1%","±0.6","922","±607","1.0%","±0.6","977","±516","1.3%","±0.7","7,043","±2,204","1.1%","±0.3","3,122","±1,312","0.9%","±0.4","3,921","±1,694","1.2%","±0.5"
"        $15,000 to $24,999","31,180","±4,161","8.0%","±1.0","16,675","±3,684","8.1%","±1.7","14,505","±2,884","8.0%","±1.5","43,643","±4,079","4.9%","±0.4","21,473","±2,711","4.7%","±0.6","22,170","±3,026","5.1%","±0.7","20,092","±4,358","3.1%","±0.7","9,593","±2,870","2.8%","±0.8","10,499","±2,881","3.3%","±0.9","44,811","±4,268","5.4%","±0.5","21,966","±2,933","4.8%","±0.6","22,845","±2,667","6.2%","±0.7","7,703","±1,703","4.5%","±1.0","4,715","±1,307","4.9%","±1.3","2,988","±1,006","4.0%","±1.3","20,092","±4,358","3.1%","±0.7","9,593","±2,870","2.8%","±0.8","10,499","±2,881","3.3%","±0.9"
"        $25,000 to $34,999","60,660","±5,464","15.6%","±1.4","31,022","±3,910","15.0%","±1.8","29,638","±3,599","16.3%","±1.8","77,358","±5,321","8.7%","±0.6","38,423","±3,976","8.4%","±0.8","38,935","±3,637","9.0%","±0.8","28,568","±4,090","4.4%","±0.6","15,534","±3,477","4.5%","±1.0","13,034","±2,397","4.2%","±0.8","94,217","±6,075","11.4%","±0.7","49,113","±3,856","10.7%","±0.8","45,104","±4,209","12.2%","±1.0","12,593","±2,089","7.3%","±1.2","5,652","±1,387","5.9%","±1.5","6,941","±1,485","9.2%","±2.0","28,568","±4,090","4.4%","±0.6","15,534","±3,477","4.5%","±1.0","13,034","±2,397","4.2%","±0.8"
"        $35,000 to $49,999","89,023","±7,175","22.9%","±1.6","45,683","±4,732","22.1%","±2.0","43,340","±5,341","23.9%","±2.5","148,436","±7,489","16.7%","±0.8","68,533","±5,023","15.0%","±1.1","79,903","±5,869","18.5%","±1.2","50,573","±5,649","7.7%","±0.8","23,576","±4,235","6.9%","±1.2","26,997","±3,883","8.6%","±1.2","156,661","±8,792","18.9%","±1.0","88,530","±6,732","19.3%","±1.4","68,131","±4,687","18.4%","±1.2","24,412","±3,160","14.2%","±1.9","12,389","±2,362","12.9%","±2.5","12,023","±2,051","15.9%","±2.6","50,573","±5,649","7.7%","±0.8","23,576","±4,235","6.9%","±1.2","26,997","±3,883","8.6%","±1.2"
"        $50,000 to $64,999","64,767","±5,025","16.7%","±1.2","34,665","±4,426","16.7%","±2.0","30,102","±3,155","16.6%","±1.7","120,104","±5,908","13.5%","±0.7","62,833","±4,121","13.8%","±0.9","57,271","±3,949","13.2%","±0.9","68,328","±7,926","10.4%","±1.1","31,616","±4,916","9.3%","±1.4","36,712","±5,611","11.7%","±1.7","128,142","±7,024","15.5%","±0.9","72,546","±5,521","15.8%","±1.2","55,596","±4,410","15.0%","±1.2","25,841","±2,801","15.1%","±1.5","13,187","±2,050","13.7%","±2.0","12,654","±2,086","16.8%","±2.7","68,328","±7,926","10.4%","±1.1","31,616","±4,916","9.3%","±1.4","36,712","±5,611","11.7%","±1.7"
"        $65,000 to $74,999","31,283","±4,241","8.1%","±1.1","16,187","±3,454","7.8%","±1.6","15,096","±2,633","8.3%","±1.4","70,320","±6,068","7.9%","±0.7","33,744","±4,168","7.4%","±0.9","36,576","±3,802","8.5%","±0.9","37,213","±4,255","5.7%","±0.7","18,287","±2,871","5.4%","±0.8","18,926","±3,161","6.0%","±1.0","63,547","±4,574","7.7%","±0.5","37,175","±3,649","8.1%","±0.8","26,372","±3,246","7.1%","±0.8","15,617","±2,581","9.1%","±1.5","8,645","±1,720","9.0%","±1.8","6,972","±1,853","9.2%","±2.4","37,213","±4,255","5.7%","±0.7","18,287","±2,871","5.4%","±0.8","18,926","±3,161","6.0%","±1.0"
"        $75,000 to $99,999","44,516","±4,416","11.5%","±1.1","24,033","±3,327","11.6%","±1.6","20,483","±2,939","11.3%","±1.7","129,742","±6,688","14.6%","±0.8","67,204","±5,622","14.7%","±1.2","62,538","±4,520","14.5%","±1.1","89,133","±6,772","13.6%","±1.0","38,841","±4,419","11.4%","±1.3","50,292","±5,301","16.0%","±1.6","128,021","±6,560","15.5%","±0.8","68,964","±4,948","15.0%","±1.0","59,057","±4,335","16.0%","±1.1","29,965","±3,069","17.5%","±1.8","15,517","±2,077","16.1%","±2.1","14,448","±2,586","19.2%","±3.4","89,133","±6,772","13.6%","±1.0","38,841","±4,419","11.4%","±1.3","50,292","±5,301","16.0%","±1.6"
"        $100,000 or more","49,792","±5,404","12.8%","±1.3","28,423","±4,295","13.7%","±2.0","21,369","±2,552","11.8%","±1.4","277,665","±9,494","31.2%","±0.9","155,160","±6,277","34.0%","±1.2","122,505","±6,696","28.3%","±1.3","345,582","±13,524","52.7%","±1.6","195,485","±9,010","57.2%","±1.9","150,097","±7,174","47.8%","±2.1","188,299","±7,652","22.7%","±0.9","107,807","±6,292","23.5%","±1.3","80,492","±4,389","21.8%","±1.2","50,547","±3,995","29.5%","±2.1","33,269","±3,037","34.6%","±2.8","17,278","±2,625","22.9%","±3.1","345,582","±13,524","52.7%","±1.6","195,485","±9,010","57.2%","±1.9","150,097","±7,174","47.8%","±2.1"
